,Unnamed: 0,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
17219,21202,1726196,8426,8066,2014/2015,2015-03-21,HOME_WIN,65.4,62.5,0.0,63.5,60.0,61.0,62.4,62.0,0.5,0.25,0.25,0.16666666666666666,0.2727272727272727,0.3516483516483517,0.6153846153846154,0.0
17220,21203,1726197,8649,8597,2014/2015,2015-03-21,HOME_WIN,59.25,58.0,62.33333333333334,61.33333333333334,63.0,61.0,61.33333333333334,62.4,0.25,0.5,0.25,0.34146341463414637,0.25,0.25688073394495414,0.14285714285714285,0.5
17221,21204,1726198,8467,9800,2014/2015,2015-03-21,HOME_WIN,58.66666666666666,64.75,65.0,63.0,60.0,66.0,63.66666666666666,63.5,0.4666666666666667,0.13333333333333333,0.4,0.3870967741935484,0.38461538461538464,0.1743119266055046,0.38461538461538464,0.14285714285714285
17222,21205,1726199,8485,8426,2014/2015,2015-04-04,DRAW,62.5,65.0,63.5,63.0,61.0,65.0,62.0,65.6,0.8,0.2,0.0,0.42990654205607476,0.7692307692307693,0.32142857142857145,0.2727272727272727,0.0
17223,21206,1726200,9938,8649,2014/2015,2015-04-04,AWAY_WIN,57.33333333333334,63.33333333333334,61.5,68.0,61.0,66.0,62.4,61.16666666666666,0.5,0.25,0.25,0.4864864864864865,0.6153846153846154,0.2222222222222222,0.18181818181818182,0.0
17224,21207,1726201,8429,8467,2014/2015,2015-04-04,DRAW,63.75,59.5,63.0,61.0,66.0,64.0,63.75,59.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2916666666666667,0.3076923076923077,0.30612244897959184,0.3076923076923077,0.25
17225,21208,1726202,8066,8284,2014/2015,2015-04-04,DRAW,56.5,66.25,63.0,0.0,62.0,60.0,61.16666666666666,63.5,0.6,0.0,0.4,0.3595505617977528,0.5833333333333334,0.2857142857142857,0.45454545454545453,0.0
17226,21209,1726203,8597,9927,2014/2015,2015-04-04,AWAY_WIN,60.5,58.0,57.0,62.0,63.0,63.0,64.8,61.66666666666666,0.4444444444444444,0.2777777777777778,0.2777777777777778,0.33636363636363636,0.5,0.35454545454545455,0.07692307692307693,0.36363636363636365
17227,21210,1726204,9800,9925,2014/2015,2015-04-03,AWAY_WIN,72.0,58.66666666666666,72.0,57.5,74.0,60.0,72.5,64.0,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.2616822429906542,0.07692307692307693,0.6666666666666666,0.8181818181818182,0.8
17228,21211,1726205,8485,8066,2014/2015,2015-04-08,HOME_WIN,66.25,65.0,0.0,68.5,60.0,63.0,63.33333333333334,65.2,0.5294117647058824,0.4117647058823529,0.058823529411764705,0.42592592592592593,0.7142857142857143,0.34782608695652173,0.5714285714285714,0.5
17229,21212,1726206,8284,9938,2014/2015,2015-04-08,HOME_WIN,61.4,56.5,65.5,63.0,66.0,62.0,61.66666666666666,61.16666666666666,0.0,0.8,0.2,0.1935483870967742,0.16666666666666666,0.3333333333333333,0.38461538461538464,1.0
17230,21213,1726207,8429,8597,2014/2015,2015-02-07,DRAW,61.0,59.5,61.0,63.0,63.0,63.0,62.57142857142857,58.6,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.3111111111111111,0.4,0.26666666666666666,0.2,0.0
17231,21214,1726208,9927,9800,2014/2015,2015-04-07,HOME_WIN,57.0,60.5,57.5,57.0,60.0,63.0,63.33333333333334,64.8,0.4444444444444444,0.16666666666666666,0.3888888888888889,0.43119266055045874,0.3333333333333333,0.17272727272727273,0.35714285714285715,0.1111111111111111
17232,21215,1726209,8649,8467,2014/2015,2015-04-07,HOME_WIN,64.75,57.33333333333334,66.0,61.33333333333334,66.0,61.0,63.6,62.25,0.375,0.375,0.25,0.35714285714285715,0.3333333333333333,0.30303030303030304,0.2857142857142857,0.3333333333333333
17233,21216,1726216,9925,8426,2014/2015,2015-04-08,HOME_WIN,62.5,72.0,63.0,71.66666666666667,61.0,74.0,62.714285714285715,71.33333333333333,1.0,0.0,0.0,0.7758620689655172,0.7333333333333333,0.3103448275862069,0.25,0.0
17234,21217,1726210,9938,8429,2014/2015,2015-04-11,HOME_WIN,59.0,65.0,61.0,68.0,64.0,66.0,56.25,60.83333333333334,0.42857142857142855,0.0,0.5714285714285714,0.48214285714285715,0.5714285714285714,0.29411764705882354,0.35714285714285715,0.0
17235,21218,1726211,8066,9925,2014/2015,2015-04-11,DRAW,71.0,66.25,70.0,66.0,74.0,65.0,72.25,62.4,0.13333333333333333,0.7333333333333333,0.13333333333333333,0.35555555555555557,0.5384615384615384,0.6696428571428571,0.8333333333333334,0.8
17236,21219,1726212,8597,8485,2014/2015,2015-04-12,AWAY_WIN,64.33333333333333,58.0,66.0,62.0,63.0,63.0,65.0,63.5,0.2857142857142857,0.47619047619047616,0.23809523809523808,0.3333333333333333,0.4666666666666667,0.29464285714285715,0.6,0.3333333333333333
17237,21220,1726213,8426,9927,2014/2015,2015-04-11,HOME_WIN,60.5,62.5,61.0,62.5,63.0,61.0,66.25,63.5,0.25,0.75,0.0,0.1935483870967742,0.3333333333333333,0.36036036036036034,0.14285714285714285,0.5
17238,21221,1726214,8467,8284,2014/2015,2015-04-11,HOME_WIN,56.5,64.75,63.0,63.0,62.0,66.0,60.5,63.0,0.4,0.2,0.4,0.39361702127659576,0.42857142857142855,0.27586206896551724,0.4166666666666667,0.5
17239,21222,1726215,9800,8649,2014/2015,2015-04-13,AWAY_WIN,57.33333333333334,57.0,61.33333333333334,63.0,61.0,60.0,62.25,62.83333333333334,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.25925925925925924,0.07142857142857142,0.2391304347826087,0.25,0.2
17240,21223,1955042,8429,9927,2014/2015,2015-04-24,HOME_WIN,60.5,57.66666666666666,57.0,60.33333333333334,63.0,64.0,64.8,56.5,0.3333333333333333,0.4166666666666667,0.25,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.13333333333333333,0.16666666666666666
17241,21224,1955043,8284,8467,2014/2015,2015-04-25,AWAY_WIN,63.66666666666666,56.5,60.0,63.33333333333334,66.0,62.0,63.33333333333334,61.4,0.16666666666666666,0.5,0.3333333333333333,0.21212121212121213,0.21428571428571427,0.3,0.26666666666666666,0.3333333333333333
17242,21225,1955044,8066,8485,2014/2015,2015-04-25,AWAY_WIN,65.0,66.25,68.5,66.0,63.0,60.0,65.6,62.4,0.3888888888888889,0.5555555555555556,0.05555555555555555,0.3516483516483517,0.5,0.3008849557522124,0.625,0.5555555555555556
17243,21226,1955045,8649,8426,2014/2015,2015-04-25,AWAY_WIN,62.5,57.33333333333334,62.5,61.33333333333334,61.0,61.0,63.5,63.25,0.4,0.2,0.4,0.37209302325581395,0.4,0.3,0.23076923076923078,0.5
17244,21228,1955047,9938,9925,2014/2015,2015-04-26,AWAY_WIN,71.75,64.75,72.5,56.0,74.0,66.0,72.5,61.0,0.08,0.68,0.24,0.48672566371681414,0.6,0.6666666666666666,0.7857142857142857,0.5833333333333334
17245,21229,1955048,9925,8284,2014/2015,2015-05-01,HOME_WIN,56.5,71.0,58.0,71.33333333333333,62.0,74.0,61.0,73.0,0.8,0.0,0.2,0.7796610169491526,0.7647058823529411,0.26666666666666666,0.38461538461538464,0.0
17246,21230,1955049,9938,8485,2014/2015,2015-05-02,HOME_WIN,65.0,64.5,68.5,62.0,63.0,66.0,66.0,60.75,0.3157894736842105,0.42105263157894735,0.2631578947368421,0.4824561403508772,0.5625,0.30701754385964913,0.6470588235294118,0.4444444444444444
