,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating
19095,1748803,8348,9807,2014/2015,2014-11-09 00:00:00,AWAY_WIN,67.75,66.25,70.0,70.0,68.0,66.0,69.0,68.6
19096,1748804,10214,9772,2014/2015,2014-11-09 00:00:00,AWAY_WIN,76.75,71.33333333333333,77.75,71.33333333333333,82.0,64.0,81.0,67.25
19097,1748805,9768,6403,2014/2015,2014-11-09 00:00:00,DRAW,66.0,74.66666666666667,69.5,76.5,69.0,80.0,70.75,76.2
19099,1748807,10215,9772,2014/2015,2014-11-30 00:00:00,AWAY_WIN,76.75,64.25,78.0,68.0,82.0,66.0,78.66666666666667,69.0
19100,1748808,9764,10214,2014/2015,2014-11-30 00:00:00,DRAW,71.0,67.0,71.33333333333333,65.0,70.0,71.0,70.25,67.0
19101,1748809,7844,8348,2014/2015,2014-11-28 00:00:00,HOME_WIN,66.5,67.0,70.0,68.0,66.0,67.0,68.0,72.75
19102,1748810,9773,7841,2014/2015,2014-11-30 00:00:00,HOME_WIN,68.0,76.25,68.0,82.0,73.0,76.0,69.4,76.6
19103,1748811,9807,158085,2014/2015,2014-11-29 00:00:00,DRAW,66.33333333333333,67.75,68.0,70.0,70.0,68.0,69.6,69.0
19104,1748812,10212,8613,2014/2015,2014-11-30 00:00:00,HOME_WIN,63.666666666666664,67.66666666666667,63.5,69.0,67.0,68.0,65.8,67.5
19106,1748814,6403,7842,2014/2015,2014-12-01 00:00:00,DRAW,69.5,66.0,72.0,70.5,71.0,68.0,70.25,71.25
19107,1748815,9768,10238,2014/2015,2014-11-29 00:00:00,HOME_WIN,67.0,74.75,69.0,75.0,65.0,80.0,67.4,79.66666666666667
19108,1748816,10215,9773,2014/2015,2014-12-06 00:00:00,AWAY_WIN,76.75,63.5,82.0,67.0,76.0,66.0,75.4,68.75
19110,1748818,8613,9768,2014/2015,2014-12-05 00:00:00,AWAY_WIN,73.25,64.0,75.0,63.5,80.0,62.0,79.66666666666667,65.25
19113,1748821,9772,9807,2014/2015,2014-12-06 00:00:00,HOME_WIN,67.25,76.75,68.0,78.0,68.0,82.0,65.33333333333333,78.66666666666667
19114,1748822,8348,6403,2014/2015,2014-12-07 00:00:00,HOME_WIN,65.75,66.5,70.5,70.0,68.0,66.0,71.25,68.2
19115,1748823,7841,9764,2014/2015,2014-12-06 00:00:00,DRAW,67.0,66.33333333333333,65.0,69.0,71.0,73.0,66.83333333333333,70.4
19116,1748824,10214,10212,2014/2015,2014-12-08 00:00:00,HOME_WIN,66.75,71.0,70.5,70.25,71.0,70.0,67.0,69.66666666666667
19117,1748825,9807,10264,2014/2015,2014-12-13 00:00:00,AWAY_WIN,71.6,67.75,75.5,70.0,71.0,68.0,75.0,69.75
19118,1748826,7844,7841,2014/2015,2014-12-14 00:00:00,DRAW,66.0,67.33333333333333,68.0,69.0,70.0,67.0,70.0,66.33333333333333
19120,1748828,9764,10215,2014/2015,2014-12-13 00:00:00,DRAW,63.5,67.0,68.0,63.5,68.0,71.0,68.5,66.0
19121,1748829,6403,158085,2014/2015,2014-12-13 00:00:00,HOME_WIN,65.66666666666667,65.5,67.0,70.5,70.0,68.0,69.16666666666667,69.25
19122,1748830,9773,9772,2014/2015,2014-12-14 00:00:00,AWAY_WIN,76.75,76.25,77.66666666666667,82.0,82.0,76.0,78.66666666666667,76.6
19124,1748832,10212,7842,2014/2015,2014-12-14 00:00:00,DRAW,69.0,67.2,72.0,70.5,71.0,71.0,70.75,65.66666666666667
19125,1748833,9768,8348,2014/2015,2014-12-14 00:00:00,DRAW,66.5,73.25,70.0,75.5,66.0,80.0,68.4,78.5
19127,1748835,158085,10212,2014/2015,2014-12-21 00:00:00,HOME_WIN,67.66666666666667,66.33333333333333,69.0,68.0,71.0,70.0,64.5,69.4
19128,1748836,9772,9764,2014/2015,2014-12-21 00:00:00,HOME_WIN,67.0,73.33333333333333,63.5,78.0,71.0,82.0,66.4,74.0
19129,1748837,10264,6403,2014/2015,2014-12-22 00:00:00,HOME_WIN,65.5,72.0,69.5,75.5,68.0,71.0,71.75,75.0
19130,1748838,7842,7844,2014/2015,2014-12-20 00:00:00,HOME_WIN,67.0,70.25,69.0,72.0,67.0,71.0,71.4,71.5
19131,1748839,10214,9768,2014/2015,2014-12-21 00:00:00,AWAY_WIN,74.0,71.0,75.33333333333333,71.33333333333333,80.0,70.0,77.0,70.0
19133,1748841,7841,9807,2014/2015,2014-12-22 00:00:00,DRAW,67.75,65.33333333333333,70.0,70.0,68.0,72.0,69.6,69.66666666666667
19134,1748842,8348,8613,2014/2015,2014-12-21 00:00:00,HOME_WIN,63.5,66.5,63.0,70.0,67.0,66.0,64.8,68.4
19136,1750602,9807,10215,2014/2015,2015-01-02 00:00:00,DRAW,63.5,67.75,64.0,70.0,66.0,68.0,68.6,68.2
19138,1750604,10212,10264,2014/2015,2015-01-03 00:00:00,HOME_WIN,72.2,67.2,75.5,70.0,71.0,71.0,75.0,66.66666666666667
19140,1750606,7844,10214,2014/2015,2015-01-04 00:00:00,HOME_WIN,67.0,68.75,71.0,69.0,70.0,67.0,67.0,71.0
19141,1750607,9764,9773,2014/2015,2015-01-03 00:00:00,AWAY_WIN,77.5,66.0,82.0,63.5,77.0,70.0,77.0,65.8
19142,1750608,8613,158085,2014/2015,2015-01-04 00:00:00,HOME_WIN,66.0,61.666666666666664,68.0,63.5,70.0,67.0,69.0,65.8
19143,1750609,9768,7842,2014/2015,2015-01-03 00:00:00,HOME_WIN,70.5,75.0,71.5,75.33333333333333,71.0,80.0,70.75,79.66666666666667
19146,1750612,10214,8613,2014/2015,2015-01-11 00:00:00,HOME_WIN,61.666666666666664,68.33333333333333,67.5,66.66666666666667,67.0,70.0,65.4,68.5
