,match_api_id,num_top_players_home,num_top_players_away,num_bottom_players_home,num_bottom_players_away
495,665370,0,0,0,0
497,665374,0,0,0,0
498,665376,0,0,0,0
501,665380,0,0,0,0
502,665384,0,0,0,0
503,665385,0,0,0,0
508,665393,0,0,0,0
509,665396,0,0,0,0
512,665402,0,0,0,0
514,665405,0,0,0,0
517,838468,0,0,0,0
520,838473,0,0,0,0
523,838476,0,0,0,0
524,838581,0,0,0,0
525,838582,0,0,0,0
528,838585,0,0,0,0
529,838586,0,0,0,0
530,838587,0,0,0,0
531,838588,0,0,0,0
532,838590,0,0,0,0
533,838591,0,0,0,0
534,838593,0,0,0,0
535,838594,0,0,0,0
537,838596,0,0,0,0
538,838597,0,0,0,0
539,838598,0,0,0,0
540,838599,0,0,0,0
541,838600,0,0,0,0
543,838603,0,0,0,0
544,838604,0,0,0,0
545,838605,0,0,0,0
546,838606,0,0,0,0
547,838607,0,0,0,0
548,838621,0,0,0,0
549,838622,0,0,0,0
550,838623,0,0,0,0
552,838625,0,0,0,0
555,838632,0,0,0,0
556,838635,0,0,0,0
557,838636,0,0,0,0
558,838639,0,0,0,0
559,838640,0,0,0,0
562,838644,0,0,0,0
563,838646,0,0,0,0
564,838651,0,0,0,0
565,838652,0,0,0,0
566,838654,0,0,0,0
567,838656,0,0,0,0
568,838657,0,0,0,0
569,838658,0,0,0,0
571,838661,0,0,0,0
572,838664,0,0,0,0
573,838665,0,0,0,0
574,838667,0,0,0,0
575,838669,0,0,0,1
576,838671,0,0,0,0
577,838673,0,0,0,0
578,838675,0,0,0,0
579,838676,0,0,0,0
582,838680,0,0,0,0
583,838681,0,0,0,0
584,838684,0,0,0,0
585,838686,0,0,0,0
586,838688,0,0,0,0
587,838689,0,0,0,0
588,838692,0,0,0,0
589,838694,0,0,0,0
590,838695,0,0,0,0
591,838696,0,0,0,0
593,838699,0,0,0,0
595,838702,0,0,0,0
596,838707,0,0,0,0
597,838709,0,0,0,0
599,838712,0,0,0,0
601,838714,0,0,0,0
602,838716,0,0,0,0
603,838718,0,0,0,0
604,838478,0,0,0,0
606,838481,0,0,0,0
607,838482,0,0,0,0
611,838489,0,0,0,0
612,838720,0,0,0,0
613,838721,0,0,0,0
614,838723,0,0,0,0
615,838725,0,0,0,0
616,838727,0,0,0,0
617,838728,0,0,0,0
619,838732,0,0,0,0
621,838734,0,0,0,0
622,838735,0,0,0,0
625,838739,0,0,0,0
626,838741,0,0,0,0
627,838742,0,0,0,0
629,838748,0,0,0,0
630,838750,0,0,0,0
631,838752,0,0,0,1
632,838753,0,0,0,0
633,838754,0,0,0,0
634,838755,0,0,0,0
636,838759,0,0,0,0
637,838761,0,0,0,0
638,838764,0,0,0,0
639,838765,0,0,0,0
640,838767,0,0,0,0
641,838768,0,0,0,0
642,838770,0,0,0,0
643,838772,0,0,0,0
644,838773,0,0,0,0
645,838774,0,0,0,0
646,838775,0,0,0,0
647,838777,0,0,0,0
648,838778,0,0,0,0
649,838780,0,0,0,0
651,838783,0,0,0,0
652,838789,0,0,0,0
653,838790,0,0,0,0
654,838791,0,0,0,0
655,838792,0,0,0,0
656,838794,0,0,0,0
657,838796,0,0,0,0
658,838798,0,0,0,0
659,838800,0,0,0,0
660,838802,0,0,0,0
661,838804,0,0,0,0
662,838806,0,0,0,0
663,838808,0,0,0,0
664,838809,0,0,0,0
665,838810,0,0,0,0
667,838814,0,0,0,0
668,838815,0,0,0,0
669,838817,0,0,0,0
670,838819,0,0,0,0
671,838820,0,0,0,0
672,838822,0,0,0,0
673,838823,0,0,0,0
674,838825,0,0,0,0
675,838827,0,0,0,0
676,838829,0,0,0,0
677,838830,0,0,0,0
678,838832,0,0,0,0
679,838833,0,0,0,0
680,838835,0,0,0,0
681,838838,0,0,0,0
682,838839,0,0,0,0
683,838841,0,0,1,0
684,838853,0,0,0,0
